Word,Frequency,Contained
constant,20,14
altitude,4,3
not,2,2
affected,30,28
nonlinear,23,15
varied,26,21
variation,124,87
pitching,70,52
moment,8,5
accurately,10,10
approximated,19,19
cubic,3,3
polynomial,4,3
only,8,8
qualitatively,1,1
predicted,1,1
modified,41,33
newtonian,25,17
characteristics,2,1
good,74,69
agreement,110,89
values,1,1
calculated,1,1
use,18,14
calculations,1,1
oscillatory,34,21
behavior,42,34
configurations,2,2
example,1,1
entry,10,5
trajectory,11,9
martian,3,2
atmosphere,3,2
indicated,49,39
dynamically,2,2
satisfactory,52,49
motions,6,4
should,66,54
converge,7,7
small,15,7
fraction,10,10
amplitude,9,7
provided,51,47
initial,104,69
pitch,5,4
rate,1,1
enough,10,10
cause,27,25
tumbling,9,5
wind,179,125
tunnel,29,17
degree,1,1
semivertex,11,8
studied,5,5
had,60,47
spherical,32,22
segment,2,2
nose,21,7
flat,44,25
base,19,6
truncated,10,7
all,17,14
performed,20,19
presented,21,16
normal,53,29
force,1,1
damping,5,5
both,63,52
throughout,10,9
test,168,117
addition,3,3
destabilizing,8,8
preliminary,34,33
investigations,14,13
spiked,3,2
hypersonic,57,35
speeds,32,20
generally,28,24
accepted,2,2
solutions,8,4
problems,3,2
appear,24,24
centered,5,3
around,64,55
minimize,9,8
heat,3,2
transfer,29,14
rates,30,21
there,118,107
several,147,119
exploratory,9,8
detailed,45,40
examination,8,8
over,373,250
equipped,5,5
spike,5,2
carried,10,9
out,76,74
princeton,2,2
helium,28,13
have,112,86
investigated,4,4
varying,28,23
lengths,2,2
faced,9,5
hemispherically,2,2
axially,62,45
symmetric,53,35
distributions,1,1
obtained,45,34
studies,19,14
protruding,1,1
hemispherical,8,8
cylinder,8,6
m,1,1
decreased,33,25
level,17,13
magnitude,30,26
measured,25,17
hemisphere,52,26
general,1,1
technique,3,3
appears,39,38
hold,7,7
considerable,42,41
promise,3,3
real,44,33
gas,1,1
parameters,4,4
stagnation,60,35
temperatures,13,10
f,5,3
up,8,7
pounds,8,6
per,103,82
square,21,18
inch,30,26
absolute,13,11
form,5,5
simple,76,65
correction,16,13
factors,10,9
must,18,14
applied,20,19
tabulated,27,22
ideal,32,23
deviations,20,12
law,3,3
exist,29,29
high,57,40
significant,3,3
error,17,13
when,143,110
ratio,2,1
thermodynamic,39,26
properties,4,3
temperature,13,5
approximately,58,49
percent,51,39
greater,77,68
than,40,30
determined,14,11
tabulation,5,5
contamination,2,2
total,7,5
langley,30,25
research,13,10
within,119,107
scope,14,14
even,21,19
amount,29,25
affect,8,8
demonstrated,2,2
wall,9,3
line,4,4
pitot,42,18
show,43,40
if,97,73
contaminating,1,1
held,13,13
less,63,56
volume,1,1
rayleigh,15,15
equation,14,7
errors,5,5
equations,2,2
based,55,50
derived,67,61
computational,6,6
procedure,52,44
developed,16,14
aid,22,21
design,12,6
type,47,37
charts,3,2
enable,5,5
determination,63,57
aerodynamic,278,163
moments,3,3
acting,12,10
arbitrary,84,64
revolution,13,9
undergoing,5,5
either,33,29
separate,9,9
combined,6,6
increasing,96,71
decreasing,19,18
cross,102,68
sectional,23,17
area,10,8
shapes,38,28
sharp,56,40
variations,41,29
allows,17,16
positive,10,8
negative,33,26
applicable,45,40
sideslip,2,2
yawing,8,5
maneuvers,2,2
inviscid,5,4
perfect,5,3
axisymmetric,38,28
dimensional,33,20
zero,3,3
numerically,1,1
ibm,8,8
computer,7,5
computation,21,21
consisted,11,9
fuller,5,5
solution,3,2
subsonic,4,3
transonic,4,3
regions,52,44
method,36,17
supersonic,129,79
region,10,7
fields,7,5
shock,25,10
wave,33,21
surface,5,3
field,4,4
surveys,13,12
report,1,1
presents,43,42
tables,34,28
figures,1,1
contents,1,1
presentation,10,10
data,67,39
parallel,16,15
similar,3,1
reference,27,21
work,28,25
naca,9,9
rep,1,1
prepared,5,5
one,224,181
oblique,23,16
waves,4,2
prandtl,73,58
meyer,6,6
expansions,5,5
same,30,26
here,1,1
completeness,1,1
present,6,5
dimensionless,20,18
functions,13,12
viscosity,1,1
function,26,22
reynolds,383,199
plotted,18,15
wedges,2,2
cones,2,1
series,7,5
plots,10,6
computations,25,22
representative,19,19
current,11,9
status,1,1
panel,24,6
flutter,2,1
unstiffened,5,5
rectangular,1,1
panels,3,2
stiffened,34,17
corrugated,9,6
backing,1,1
boundaries,12,6
established,7,7
types,17,15
equivalent,16,14
isotropic,3,2
plates,11,8
differential,138,102
heating,34,19
discussed,18,17
orthotropic,21,12
appendix,3,3
equilibrium,1,1
sufficient,22,20
accuracy,22,21
permit,9,9
calculation,4,3
nozzles,7,5
operating,31,27
r,3,3
atm,1,1
possible,6,6
calibrate,1,1
nozzle,16,6
conventional,19,19
way,12,12
conditions,5,4
those,166,141
chosen,17,16
herein,7,7
contour,4,3
including,23,23
compared,97,89
considerations,2,2
approximate,52,42
limiting,34,31
will,18,9
just,15,15
condense,2,2
various,185,160
combinations,21,15
laminar,3,1
deals,21,19
chemical,11,8
reaction,3,3
regarded,9,9
fast,2,2
diffusion,36,23
across,47,45
streamlines,5,4
b,4,4
governing,32,31
recombination,6,5
slow,9,9
density,3,3
near,8,6
much,72,66
higher,100,89
outside,36,31
enthalpy,5,4
profiles,13,8
sensitive,11,11
gradient,3,2
familiar,7,7
moderate,27,24
differences,19,16
fact,6,6
nondimensionalized,1,1
represented,40,35
classical,51,39
value,5,4
terms,82,66
illustrate,26,25
special,75,70
unyawed,1,1
capped,2,2
opposite,17,15
where,43,33
controlling,7,5
each,114,97
species,8,6
reduced,3,3
speed,3,3
energy,11,10
except,16,16
replaced,18,17
schmidt,5,2
simplifications,5,5
introduced,11,11
expression,25,21
maximum,183,115
alone,4,4
conduction,9,7
given,59,49
noschmidt,1,1
no,12,12
coefficient,31,20
estimated,33,29
taking,19,18
reasonable,37,33
atom,10,8
molecule,19,12
collision,1,1
section,3,3
additional,37,35
especially,20,20
clearly,12,12
required,47,42
before,20,19
charted,1,1
frozen,10,5
flows,10,6
assumed,3,3
reservoir,5,3
points,12,10
reactions,23,14
molecular,24,16
vibrations,17,15
became,4,3
poinds,1,1
enthalpies,4,2
btu,7,5
pound,1,1
weight,5,3
included,8,7
relating,25,21
k,3,3
atmospheres,15,11
showing,18,18
composition,3,3
isentropic,19,13
exponent,1,1
sound,4,4
national,11,10
bureau,4,4
standards,3,3
principles,12,12
creep,14,6
buckling,4,1
strength,3,2
possibility,35,33
gradual,3,3
instability,28,19
failure,33,28
column,3,3
under,260,195
compressive,33,25
load,1,1
recognized,3,3
some,357,271
time,18,12
marin,1,1
bending,10,5
did,17,17
take,34,26
into,213,173
account,34,34
average,2,2
stress,2,2
neglected,8,8
transient,53,35
portion,6,6
curve,48,31
efficient,7,7
comparison,10,10
straight,1,1
slenderness,5,4
too,16,16
great,18,18
marins,1,1
gives,29,27
columns,2,2
eccentricities,6,4
published,5,3
implied,1,1
critical,21,13
imperfections,22,10
such,209,176
analyses,3,3
complex,11,9
ultimately,7,7
leave,2,2
choice,5,5
selecting,3,3
proper,9,8
imperfection,10,8
designer,5,5
furthermore,1,1
recent,66,55
random,23,10
unimportant,1,1
avoid,8,6
difficulties,3,3
formulation,26,23
phenomenon,13,11
permits,20,20
extension,16,13
known,10,9
plastic,1,1
certain,62,55
thin,7,5
shells,35,19
forms,9,4
strain,26,14
hardening,1,1
hypothesis,10,6
uniformly,43,29
compressed,1,1
palte,1,1
according,31,28
deflections,18,14
loads,26,17
many,45,41
years,4,4
available,38,35
theories,5,4
do,27,25
provide,24,24
materials,5,3
structural,53,35
members,6,5
practical,29,27
plastics,5,5
concrete,1,1
metals,6,5
while,51,48
beyond,28,26
yield,44,36
point,21,18
appropriate,46,44
view,10,10
modern,7,7
developments,12,10
presence,81,68
sometimes,9,9
rational,6,6
predicting,34,28
using,170,152
interpretation,15,14
aluminum,2,2
alloy,1,1
dependent,54,40
tangent,29,19
modulus,2,2
conceived,2,2
shanley,1,1
actual,33,32
capacity,3,2
clarified,1,1
interpreted,15,14
conservative,1,1
estimate,35,30
therefore,6,6
approximation,12,11
nonconservative,3,3
imperfect,5,4
typical,38,37
alloys,1,1
cited,4,4
note,6,6
libroves,1,1
interesting,6,6
contained,5,5
ordinary,29,26
mechanism,6,6
occurs,4,4
period,16,13
concluded,38,37
theoretically,1,1
initially,29,24
loaded,17,12
below,18,18
independent,54,50
buckle,15,10
contrast,9,9
play,6,6
insignificant,4,4
role,2,2
since,22,20
failing,3,3
substantially,19,18
interest,9,9
conjecture,2,2
whether,13,12
any,141,120
containing,9,9
fail,6,5
result,2,2
elevated,5,4
objective,6,6
obtaining,31,28
procedures,3,3
lifetime,9,5
semiempirical,13,12
previously,3,3
used,51,43
deriving,3,3
straightness,3,3
little,27,26
significance,3,3
whereas,2,2
change,1,1
considerably,36,36
encountered,27,27
explicitly,10,10
include,28,26
purposes,6,6
estimating,24,22
allowable,6,4
capacities,4,2
subject,8,8
utilizes,4,4
isochronous,1,1
application,1,1
received,4,4
stabilized,4,4
s,1,1
t,1,1
computed,20,19
indicates,43,41
decrease,5,5
they,49,43
being,96,87
approximations,18,17
estimates,30,24
promising,5,5
limitations,2,2
prove,6,6
because,65,60
simplicity,3,3
material,26,21
cent,2,2
exposure,2,2
indicate,90,85
efficiency,3,3
acceptable,6,6
times,21,14
falls,3,3
rapidly,18,15
advantages,9,8
summary,10,9
kinetic,24,21
examined,16,16
principal,23,21
features,26,25
process,22,19
classifications,1,1
external,105,72
internal,59,39
elastic,18,14
response,8,6
second,2,2
influence,128,95
most,44,37
model,11,5
contributions,3,3
taken,64,59
electric,18,14
resistance,29,16
gages,3,2
description,32,31
development,2,2
decreases,15,11
deviation,12,11
steady,3,3
curvature,2,2
develop,16,15
formula,9,7
suitable,43,40
guide,13,13
describes,28,27
collapse,15,9
long,8,6
cylinders,7,5
state,16,13
derivation,17,16
fair,10,10
forty,1,1
three,6,3
length,21,12
diameter,4,3
sheets,6,6
thickness,18,11
subjected,76,64
along,130,100
oven,1,1
maintained,6,6
during,66,50
failed,4,4
elapsed,1,1
instantaneous,4,4
deformations,11,9
following,43,42
manner,10,10
elapsing,1,1
beam,25,12
laterally,7,7
linearly,23,21
viscoelastic,1,1
whose,48,42
mechanical,6,3
characterized,19,15
four,12,9
exhibit,7,6
retarded,7,5
elasticity,7,6
pure,32,25
obtain,33,31
deflection,3,2
sinusoidal,17,12
expected,15,14
purely,8,8
identical,7,6
bar,3,3
tension,6,5
compression,1,1
continuously,4,4
become,26,26
infinitely,1,1
correspondingly,3,3
reasonably,31,28
periods,4,4
euler,7,7
numerical,32,27
slightly,27,27
crooked,1,1
carrying,9,8
relationship,12,10
uniaxial,8,5
eab,1,1
constants,1,1
selected,15,14
applies,6,6
least,14,13
steel,3,3
variable,10,8
necessary,52,49
formulated,19,19
shanleys,1,1
engineering,16,13
hypotheses,1,1
leads,17,17
conclusion,3,3
lateral,44,31
approaches,22,20
infinity,1,1
collapses,1,1
finite,112,83
support,25,19
growth,24,19
strains,8,5
prior,8,8
concerned,3,2
secondary,21,16
formulae,16,11
fails,6,6
integral,30,18
exponents,5,5
appearing,4,4
phenomenological,2,2
suggested,13,13
polycrystalline,1,1
above,6,5
equicohesive,1,1
metal,2,2
linear,5,5
thermal,19,12
expansion,36,27
information,19,16
rupture,3,3
sheet,1,1
yielded,4,4
applications,2,2
agrees,8,8
proposed,3,3
technical,11,11
assuming,41,38
consists,29,27
phases,6,5
own,4,4
satisfies,14,12
basic,49,37
requirements,1,1
closely,9,9
connected,3,3
subsequent,15,14
apparent,22,17
permitted,9,9
wide,53,47
construct,5,5
nondimensional,8,7
extend,16,15
family,16,14
represent,19,19
difference,50,40
resulting,68,65
gamma,3,3
iron,1,1
lead,2,2
variational,30,19
theorem,4,4
beams,13,9
calculus,7,7
conjunction,19,19
stated,1,1
illustrated,23,22
sample,14,13
mixing,1,1
opposed,3,3
jet,1,1
flame,16,5
idealization,2,2
system,6,4
potter,1,1
butler,2,1
analyzed,50,49
solved,59,49
exactly,11,10
give,39,37
burning,5,4
extinction,2,2
premixed,1,1
gases,2,2
transport,6,6
heimel,1,1
argued,2,2
experiments,15,13
quantitatively,6,6
analyzable,1,1
topics,3,3
particular,1,1
attention,39,36
position,13,12
techniques,1,1
nonlinearity,2,2
sensitivity,5,5
character,6,6
originated,3,3
e,1,1
trefftz,1,1
rings,4,4
uniform,14,8
believed,4,4
rigorous,2,2
previous,55,51
avoids,3,3
assumptions,5,3
curved,41,32
plane,4,4
sections,1,1
remain,2,2
vanish,7,6
levy,1,1
confirmed,4,4
ring,5,3
infinitesimal,9,9
new,104,78
coefficients,5,4
conservativeness,2,1
distributed,18,15
systems,12,6
necessity,3,3
determining,52,49
statical,1,1
usually,20,20
valid,16,13
nongyroscopic,1,1
changes,64,53
make,21,21
otherwise,11,11
cantilever,21,13
tangential,10,7
end,4,4
eight,6,6
directional,5,5
tubes,1,1
inaccuracies,3,3
depends,36,33
kinds,5,5
them,15,15
seems,8,8
logical,3,3
derive,13,12
quantities,5,5
depending,17,17
common,14,13
ellipticity,2,2
numerous,10,10
inspection,3,3
shape,3,3
circular,4,3
defined,5,5
w,2,2
walled,1,1
cylindrical,21,13
shell,91,44
formations,1,1
expressible,3,3
mode,2,2
circularity,3,3
lobed,1,1
c,1,1
construction,7,7
sandwich,20,8
concentric,4,4
membranes,3,3
annular,1,1
core,4,2
shear,13,8
deformation,4,4
explicit,20,19
briefly,28,27
factor,1,1
infinite,1,1
versus,7,6
owing,12,12
uncontrollable,1,1
sufficiently,30,27
solve,6,6
heavy,9,4
spread,7,5
hoops,2,1
crinoline,1,1
skirt,1,1
original,23,19
timoshenko,3,3
love,4,4
cannot,18,18
generalized,50,37
compressing,1,1
first,2,2
derivative,10,8
relative,47,40
distance,4,2
causes,9,9
loosely,1,1
draped,1,1
fabric,2,2
hoop,9,3
radius,43,33
larger,26,24
horizontal,14,8
planes,1,1
then,13,12
modes,10,6
oval,10,5
magnitudes,9,9
approach,9,6
nearer,1,1
equality,3,3
buckled,22,11
progressively,8,7
top,7,7
designed,11,10
criterion,6,3
magnified,2,2
transverse,96,58
shallow,1,1
marguerre,2,2
proc,1,1
th,1,1
internat,1,1
congress,2,2
appl,1,1
mech,1,1
cambridge,1,1
wiley,1,1
york,2,2
governed,12,9
simultaneous,28,24
displacements,7,7
author,33,25
simplified,22,21
ignoring,2,2
longitudinal,67,48
inertia,8,5
thus,1,1
solving,25,23
displacement,22,13
component,3,3
simplification,11,10
justified,1,1
considering,12,12
paraboloidal,3,3
perfectly,6,6
exceeds,10,10
principle,11,10
minimum,8,8
insight,5,5
complete,59,51
edge,5,5
right,12,8
frustum,2,1
sphere,1,1
locations,22,15
circumferential,33,26
meridional,10,5
discontinuity,11,9
junctions,3,3
evaluate,9,9
prediction,12,10
radially,5,3
abrupt,3,3
investigate,22,22
attributable,3,3
practice,1,1
adequate,16,15
itself,4,4
middle,12,9
arising,27,25
discontinuous,5,5
comparisons,17,15
inner,22,17
outer,5,4
thicknesses,8,6
correlation,2,2
inclusion,7,7
condition,1,1
mean,81,53
effective,23,19
geometry,4,4
avoided,10,10
increased,1,1
convection,10,5
electrically,29,22
conducting,3,3
fluid,10,7
investigates,3,3
existence,4,4
class,12,11
vertical,7,4
plate,15,8
nonconducting,6,6
magnetic,103,39
acts,3,3
transversely,3,2
motion,7,6
direction,2,2
perpendicular,16,13
introduces,7,7
momentum,10,10
retarding,3,3
x,1,1
similarity,36,19
inductance,2,1
vary,41,38
n,2,2
increases,25,19
afterbodies,5,3
fineness,35,19
fully,21,16
separated,5,4
wakes,1,1
stepdown,3,1
heights,1,1
forebody,20,8
shroud,8,4
ft,1,1
strictly,5,5
speaking,1,1
correspond,8,8
prototype,2,2
would,82,64
created,6,5
consisting,15,13
turns,4,4
connects,2,2
judiciously,1,1
somewhat,5,5
wider,11,11
applicability,19,17
variables,22,19
seen,12,10
roughly,10,8
run,2,2
exit,65,29
fig,1,1
chapmans,1,1
qualitative,24,24
quantitative,19,16
noted,1,1
comparable,9,8
layers,4,2
check,17,16
concerning,26,24
transition,24,9
covering,9,9
wake,17,4
adverse,29,23
figs,1,1
observed,7,7
streamwise,27,21
nusselt,9,9
varies,35,29
evaluated,13,12
rear,9,8
faces,11,6
twice,6,5
sides,7,7
step,5,4
height,20,12
addendum,3,3
leaving,6,6
local,99,64
keep,8,8
virtually,3,3
sharply,2,2
significantly,19,18
smaller,26,25
stepped,1,1
down,9,9
elements,1,1
meissner,1,1
resultants,1,1
kelvins,1,1
arguments,1,1
still,27,23
authors,9,8
define,11,11
eliminate,2,2
evaluating,6,6
algebraic,12,11
trigonometric,5,5
compute,8,8
clear,7,7
geckelers,1,1
cabins,1,1
met,1,1
divided,18,18
former,2,2
walls,16,11
cabin,1,1
vessel,12,5
framed,1,1
stiffeners,23,12
necessarily,13,13
rotationally,9,7
specified,4,4
discrete,13,8
determines,10,9
multi,9,7
arbitrarily,10,10
employs,3,3
matrices,2,1
hence,2,2
convergence,30,21
programmed,2,2
semi,44,35
language,1,1
computers,13,11
exact,9,8
demonstrate,10,10
symmetrical,18,16
pair,10,7
slope,8,5
product,13,12
undeformed,2,2
advantageous,3,3
particularly,31,28
parabolic,6,2
nth,2,2
mth,2,1
apex,11,9
expressed,16,16
powers,19,17
concludes,7,7
discussion,44,40
asymptotic,46,36
membrane,20,9
torsion,1,1
few,37,33
formulas,12,10
dimensions,2,2
better,26,23
described,6,6
attributed,18,18
russian,1,1
investigator,1,1
v,1,1
g,1,1
galerkin,9,5
papers,10,7
inaccessible,1,1
writer,1,1
his,26,21
knowledge,12,11
p,6,3
grossman,3,1
states,11,8
treatise,1,1
oscillation,3,3
lyskov,1,1
pointed,31,25
galerkins,1,1
mechanics,1,1
lagranges,1,1
virtual,9,5
co,10,7
ordinate,3,3
belongs,2,2
ritz,7,7
seeks,2,2
proceeds,6,5
specialise,1,1
secure,1,1
satisfaction,2,2
combination,13,8
integration,22,20
simply,59,39
treatment,2,2
statics,2,2
dynamics,3,3
deformable,1,1
aspects,22,19
treated,9,8
separately,4,4
now,24,23
choosing,3,3
distinct,9,7
weighted,2,1
representation,11,10
shall,12,9
generalised,12,9
multipliers,1,1
increments,1,1
ordinates,4,4
turn,1,1
vanishing,10,8
attaindd,1,1
indefinitely,1,1
entails,2,2
labour,1,1
excellent,15,15
examples,17,16
takes,22,22
primarily,17,17
fastened,1,1
face,5,5
existing,46,43
requires,23,23
checked,8,8
experimentally,8,7
close,25,19
incompressible,1,1
far,6,6
leading,119,51
u,3,3
components,14,14
ps,1,1
successively,7,6
etc,2,2
log,3,3
ceulers,1,1
skin,3,3
friction,2,2
proportional,24,24
breaks,4,4
delay,4,4
separation,8,1
supported,2,2
unpressurized,6,2
monocoque,2,2
necessitates,1,1
reliable,8,8
proved,6,6
inadequate,8,8
require,17,15
achieved,5,5
correlating,7,6
statistically,2,1
extensive,21,19
semiempirically,2,2
best,16,16
fit,5,5
probability,3,3
lower,82,70
advances,9,7
evidenced,2,2
august,2,2
international,4,3
union,2,2
conducted,67,60
symposium,2,1
delft,1,1
holland,1,1
meeting,1,1
attened,1,1
scientists,1,1
countries,1,1
currently,12,12
exists,21,20
bimetallic,1,1
traditional,1,1
involving,38,34
geometries,4,4
cap,8,5
snapping,1,1
clamped,15,8
employing,17,16
iteration,14,9
yields,37,33
justification,3,3
accurate,57,51
unbuckled,3,2
verified,8,8
caps,1,1
upper,52,41
intermediate,8,7
ie,1,1
dead,6,5
interior,6,5
iterative,23,15
non,63,47
von,35,29
karman,10,9
mainly,9,8
edges,2,1
variety,24,22
thrust,18,7
aec,2,2
univac,4,4
university,1,1
apparently,17,15
unlimited,5,5
phenomena,17,17
computing,22,18
proves,2,2
superior,6,5
restraint,12,8
accommodated,1,1
isothermal,8,5
mathematical,6,6
framework,11,11
utilizing,21,18
axisymmetrical,4,3
compatibility,6,5
prescribed,33,24
analytical,78,66
relaxed,1,1
iterations,3,3
h,6,2
keller,1,1
reiss,1,1
parameter,2,2
ranges,25,24
thermo,5,3
immovable,1,1
tained,3,3
space,2,2
disk,19,13
spring,10,5
coned,1,1
springs,5,3
proportioned,1,1
readily,15,14
obtainable,10,9
versatility,1,1
disclose,2,2
proportions,6,6
intention,1,1
arriving,2,2
motors,4,4
corporation,1,1
laboratories,2,2
their,104,95
reliability,2,2
equipment,4,4
describe,16,16
remains,13,13
stationary,20,15
constraint,3,3
essentially,26,25
refinement,7,6
almen,1,1
laszlo,1,1
assumption,19,19
negligible,15,12
extensional,8,4
lines,9,8
another,13,13
retains,3,3
neither,5,5
violates,1,1
recently,1,1
namely,1,1
neglect,6,6
past,121,83
set,65,54
axis,13,10
meridians,1,1
azimuthal,2,2
round,17,12
entirely,13,12
elementary,10,10
discuss,1,1
disks,1,1
completely,21,20
turbulent,20,6
rocket,39,14
exhaust,14,6
issuing,7,6
ambient,17,15
streams,1,1
consist,10,8
mixture,15,11
chemically,9,8
active,3,2
possibly,7,7
reacting,7,6
release,1,1
net,9,9
production,12,7
reducible,5,5
arrhenius,3,3
y,4,3
coordinates,3,3
expressions,40,31
put,8,8
crank,1,1
nicolson,1,1
substituting,2,2
derivatives,3,2
six,14,13
ho,1,1
o,1,1
oxidation,1,1
place,18,18
single,35,31
unknowns,5,5
grid,8,2
every,10,9
concentration,3,3
programed,4,4
finally,1,1
stages,6,2
interference,26,17
landahl,1,1
beane,2,2
lifting,55,38
triangular,2,2
wedge,12,6
incidences,9,8
navier,26,19
stokes,2,2
digital,23,19
purpose,19,19
how,37,30
merits,7,7
thereafter,2,2
main,45,35
simpler,18,17
scale,10,9
vtol,11,6
tilting,5,4
double,25,20
slotted,15,8
flaps,24,9
behind,108,68
survey,17,16
highest,13,12
hovering,14,9
off,9,7
landing,12,7
capability,5,5
tilt,20,10
flap,42,14
camber,18,13
rotation,14,8
resultant,17,14
chord,15,12
deflected,17,15
performance,15,11
recovery,38,26
turning,13,10
ablation,10,5
five,6,5
stage,39,16
propelled,3,3
vehicle,4,3
flown,4,4
feet,4,2
teflon,2,1
sensors,2,1
aeronautics,2,2
administration,1,1
located,29,22
constructed,3,3
others,8,7
ablated,1,1
predictions,52,47
pertinent,12,10
property,7,7
launch,2,2
vibrating,5,5
flexibly,4,3
mounted,24,19
aeroelastic,23,16
levels,19,13
hammerhead,2,2
necessitated,2,2
reflex,1,1
downstream,6,5
basically,4,4
electrical,18,16
input,9,8
decaying,3,3
oscillations,36,23
frequencies,2,2
frequency,1,1
bond,1,1
packard,1,1
appeared,13,12
gave,18,15
worst,1,1
stiffness,7,6
scatter,4,4
geometrically,7,6
eighth,6,5
hydrostatic,22,13
versions,4,3
commonly,7,7
differing,3,3
what,18,16
follows,3,3
armenakas,2,2
reviewed,2,2
earlier,6,6
re,52,38
examine,8,8
mentioned,3,3
compare,12,12
outcome,2,2
establishment,4,4
testing,8,5
honeycomb,3,2
fabricated,3,3
cores,3,3
quite,33,30
feasible,8,8
stabilize,1,1
third,1,1
adopted,7,7
balancing,2,2
correct,7,7
fulfillment,2,2
introducing,11,11
blasius,27,15
donnell,12,11
likewise,4,4
analysed,2,2
torispherical,9,3
toroidal,7,5
prebuckled,1,1
minimized,5,5
reveal,4,4
occur,3,3
ignition,12,3
combustion,28,14
zone,5,3
analytic,34,26
processes,4,3
propagation,18,12
involve,5,5
velocities,4,2
quenching,2,2
cool,3,2
stabilization,5,4
heated,6,6
zones,2,2
viscous,1,1
physically,4,4
recognizing,1,1
simplifies,1,1
accordingly,2,2
moving,53,41
combustible,4,2
hot,37,27
products,15,5
come,2,2
contact,20,11
decomposition,1,1
follow,5,5
kinetics,5,4
dependence,17,16
questions,5,5
answered,2,2
does,51,46
ignite,1,1
extent,13,12
drops,3,3
enormously,1,1
physical,6,6
apparatus,9,6
dimension,2,2
front,6,5
partial,32,28
medium,22,15
generated,23,20
subscripts,2,2
differentiations,1,1
q,6,6
sweep,3,2
restricted,13,11
term,1,1
nonuniformities,2,2
wings,3,2
incidence,3,3
sweepback,3,3
overestimate,3,3
assumes,4,4
limit,25,22
deteriorate,1,1
insulated,13,8
profile,1,1
changing,14,13
formed,15,15
dihedral,4,3
adaptable,1,1
planet,5,4
illustrative,4,4
ardc,1,1
device,5,5
though,17,16
nature,33,33
continues,1,1
indication,7,7
continue,3,3
